Instance,Evaluations,Best Fitness
instance_1_easy.json,8450,320
instance_1_easy.json,8500,320
instance_1_easy.json,8550,320
instance_1_easy.json,8600,320
instance_1_easy.json,8650,320
instance_1_easy.json,8700,320
instance_1_easy.json,8750,320
instance_1_easy.json,8800,320
instance_1_easy.json,8850,320
instance_1_easy.json,8900,320
instance_1_easy.json,8950,320
instance_1_easy.json,9000,320
instance_1_easy.json,9050,320
instance_1_easy.json,9100,320
instance_1_easy.json,9150,320
instance_1_easy.json,9200,320
instance_1_easy.json,9250,320
instance_1_easy.json,9300,320
instance_1_easy.json,9350,320
instance_1_easy.json,9400,320
instance_1_easy.json,9450,320
instance_1_easy.json,9500,320
instance_1_easy.json,9550,320
instance_1_easy.json,9600,320
instance_1_easy.json,9650,320
instance_1_easy.json,9700,320
instance_1_easy.json,9750,320
instance_1_easy.json,9800,320
instance_1_easy.json,9850,320
instance_1_easy.json,9900,320
instance_1_easy.json,9950,320
instance_1_easy.json,10000,320
instance_5_moderate.json,50,280
instance_5_moderate.json,100,281
instance_5_moderate.json,150,285
instance_5_moderate.json,200,330
instance_5_moderate.json,250,335
instance_5_moderate.json,300,355
instance_5_moderate.json,350,355
instance_5_moderate.json,400,355
instance_5_moderate.json,450,355
instance_5_moderate.json,500,355
instance_5_moderate.json,550,355
instance_5_moderate.json,600,355
instance_5_moderate.json,650,355
instance_5_moderate.json,700,365
instance_5_moderate.json,750,365
instance_5_moderate.json,800,365
instance_5_moderate.json,850,365
instance_5_moderate.json,900,365
instance_5_moderate.json,950,365
instance_5_moderate.json,1000,365
instance_5_moderate.json,1050,375
instance_5_moderate.json,1100,375
instance_5_moderate.json,1150,375
instance_5_moderate.json,1200,375
instance_5_moderate.json,1250,375
instance_5_moderate.json,1300,375
instance_5_moderate.json,1350,375
instance_5_moderate.json,1400,375
instance_5_moderate.json,1450,375
instance_5_moderate.json,1500,375
instance_5_moderate.json,1550,375
instance_5_moderate.json,1600,375
instance_5_moderate.json,1650,375
instance_5_moderate.json,1700,375
instance_5_moderate.json,1750,375
instance_5_moderate.json,1800,375
instance_5_moderate.json,1850,375
instance_5_moderate.json,1900,375
instance_5_moderate.json,1950,375
instance_5_moderate.json,2000,375
instance_5_moderate.json,2050,375
instance_5_moderate.json,2100,375
instance_5_moderate.json,2150,375
instance_5_moderate.json,2200,375
instance_5_moderate.json,2250,375
instance_5_moderate.json,2300,375
instance_5_moderate.json,2350,375
instance_5_moderate.json,2400,375
instance_5_moderate.json,2450,375
instance_5_moderate.json,2500,375
instance_5_moderate.json,2550,375
instance_5_moderate.json,2600,375
instance_5_moderate.json,2650,375
instance_5_moderate.json,2700,375
instance_5_moderate.json,2750,375
instance_5_moderate.json,2800,375
instance_5_moderate.json,2850,375
instance_5_moderate.json,2900,375
instance_5_moderate.json,2950,375
instance_5_moderate.json,3000,375
instance_5_moderate.json,3050,375
instance_5_moderate.json,3100,375
instance_5_moderate.json,3150,375
instance_5_moderate.json,3200,375
instance_5_moderate.json,3250,375
instance_5_moderate.json,3300,375
instance_5_moderate.json,3350,375
instance_5_moderate.json,3400,375
