Instance,Evaluations,Best Fitness
instance_1_easy.json,6700,320
instance_1_easy.json,6750,320
instance_1_easy.json,6800,320
instance_1_easy.json,6850,320
instance_1_easy.json,6900,320
instance_1_easy.json,6950,320
instance_1_easy.json,7000,320
instance_1_easy.json,7050,320
instance_1_easy.json,7100,320
instance_1_easy.json,7150,320
instance_1_easy.json,7200,320
instance_1_easy.json,7250,320
instance_1_easy.json,7300,320
instance_1_easy.json,7350,320
instance_1_easy.json,7400,320
instance_1_easy.json,7450,320
instance_1_easy.json,7500,320
instance_1_easy.json,7550,320
instance_1_easy.json,7600,320
instance_1_easy.json,7650,320
instance_1_easy.json,7700,320
instance_1_easy.json,7750,320
instance_1_easy.json,7800,320
instance_1_easy.json,7850,320
instance_1_easy.json,7900,320
instance_1_easy.json,7950,320
instance_1_easy.json,8000,320
instance_1_easy.json,8050,320
instance_1_easy.json,8100,320
instance_1_easy.json,8150,320
instance_1_easy.json,8200,320
instance_1_easy.json,8250,320
instance_1_easy.json,8300,320
instance_1_easy.json,8350,320
instance_1_easy.json,8400,320
instance_1_easy.json,8450,320
instance_1_easy.json,8500,320
instance_1_easy.json,8550,320
instance_1_easy.json,8600,320
instance_1_easy.json,8650,320
instance_1_easy.json,8700,320
instance_1_easy.json,8750,320
instance_1_easy.json,8800,320
instance_1_easy.json,8850,320
instance_1_easy.json,8900,320
instance_1_easy.json,8950,320
instance_1_easy.json,9000,320
instance_1_easy.json,9050,320
instance_1_easy.json,9100,320
instance_1_easy.json,9150,320
instance_1_easy.json,9200,320
instance_1_easy.json,9250,320
instance_1_easy.json,9300,320
instance_1_easy.json,9350,320
instance_1_easy.json,9400,320
instance_1_easy.json,9450,320
instance_1_easy.json,9500,320
instance_1_easy.json,9550,320
instance_1_easy.json,9600,320
instance_1_easy.json,9650,320
instance_1_easy.json,9700,320
instance_1_easy.json,9750,320
instance_1_easy.json,9800,320
instance_1_easy.json,9850,320
instance_1_easy.json,9900,320
instance_1_easy.json,9950,320
instance_1_easy.json,10000,320
instance_5_moderate.json,50,242
instance_5_moderate.json,100,242
instance_5_moderate.json,150,295
instance_5_moderate.json,200,295
instance_5_moderate.json,250,300
instance_5_moderate.json,300,340
instance_5_moderate.json,350,340
instance_5_moderate.json,400,345
instance_5_moderate.json,450,350
instance_5_moderate.json,500,360
instance_5_moderate.json,550,365
instance_5_moderate.json,600,365
instance_5_moderate.json,650,365
instance_5_moderate.json,700,365
instance_5_moderate.json,750,365
instance_5_moderate.json,800,365
instance_5_moderate.json,850,380
instance_5_moderate.json,900,380
instance_5_moderate.json,950,380
instance_5_moderate.json,1000,380
instance_5_moderate.json,1050,380
instance_5_moderate.json,1100,380
instance_5_moderate.json,1150,380
instance_5_moderate.json,1200,380
instance_5_moderate.json,1250,380
instance_5_moderate.json,1300,380
instance_5_moderate.json,1350,380
instance_5_moderate.json,1400,380
instance_5_moderate.json,1450,380
instance_5_moderate.json,1500,380
instance_5_moderate.json,1550,380
instance_5_moderate.json,1600,380
instance_5_moderate.json,1650,380
instance_5_moderate.json,1700,380
instance_5_moderate.json,1750,380
instance_5_moderate.json,1800,380
